Squad;NPl;TotTkl;TotTklW;Def3rdTck;Mid3rdTck;Att3rdTck;TklWvsDrib;AttTckvsDrib;TklWvsDribRt;PastDribNTck;PressTot;SuccPress;PressRt;Def3rdPres;Mid3rdPres;Att3rdPres;TotBlocBal;ShBlocBall;ShSvBloc;PassBlock;Int;TklpInt;Clear;Err
Arsenal;27;573;350;262;211;100;183;421;43.5;238;4772;1440;30.2;1398;1910;1464;528;143;0;385;476;1049;641;12
Aston Villa;31;686;398;347;258;81;250;594;42.1;344;5515;1524;27.6;1886;2402;1227;637;158;3;479;587;1273;715;6
Brentford;29;693;398;339;254;100;257;602;42.7;345;5566;1609;28.9;1992;2351;1223;606;127;3;479;589;1282;886;12
Brighton;26;722;452;323;280;119;242;569;42.5;327;5667;1831;32.3;1793;2280;1594;649;166;3;483;559;1281;753;14
Burnley;23;629;361;299;250;80;221;553;40.0;332;5527;1499;27.1;1770;2362;1395;730;236;8;494;617;1246;903;11
Chelsea;26;660;401;272;283;105;214;536;39.9;322;5533;1702;30.8;1643;2365;1525;562;114;5;448;557;1217;730;13
Crystal Palace;24;690;410;341;261;88;226;525;43.0;299;6003;1797;29.9;2081;2623;1299;615;149;0;466;564;1254;810;6
Everton;33;779;477;405;275;99;304;714;42.6;410;6346;1892;29.8;2222;2712;1412;684;160;3;524;600;1379;809;10
Leeds United;29;858;473;435;321;102;373;871;42.8;498;7078;2118;29.9;2446;3081;1551;622;168;4;454;627;1485;751;14
Leicester City;28;751;440;359;298;94;264;665;39.7;401;5982;1719;28.7;2049;2652;1281;637;160;4;477;532;1283;809;14
Liverpool;27;589;366;211;263;115;196;551;35.6;355;5360;1731;32.3;1303;2355;1702;462;91;5;371;552;1141;566;7
Manchester City;26;508;325;177;225;106;186;478;38.9;292;4254;1381;32.5;930;1864;1460;392;67;3;325;434;942;474;7
Manchester Utd;29;632;388;333;223;76;230;554;41.5;324;5069;1462;28.8;1732;2209;1128;564;154;4;410;566;1198;807;12
Newcastle Utd;29;706;407;380;249;77;259;627;41.3;368;5430;1460;26.9;1989;2271;1170;587;174;5;413;598;1304;848;8
Norwich City;28;678;392;358;256;64;256;643;39.8;387;6146;1570;25.5;2410;2488;1248;639;207;5;432;633;1311;840;9
Southampton;25;666;404;308;269;89;220;586;37.5;366;5869;1806;30.8;1915;2516;1438;618;151;4;467;677;1343;848;10
Tottenham;25;691;371;316;286;89;234;569;41.1;335;5477;1523;27.8;2038;2341;1098;612;184;4;428;552;1243;818;4
Watford;30;693;423;392;240;61;253;600;42.2;347;5730;1656;28.9;2111;2458;1161;593;160;5;433;675;1368;907;11
West Ham;25;557;351;287;198;72;218;562;38.8;344;4917;1372;27.9;1771;2063;1083;589;190;2;399;539;1096;824;5
Wolves;26;733;465;412;252;69;253;620;40.8;367;5529;1633;29.5;2133;2397;999;594;156;5;438;562;1295;829;8
