Squad;NPl;SCAT;SCA90;PassLiveSCA;PassDeadSCA;DribSCA;ShSCA;FldSCA;DefSCA;GCAT;GCA90;PassLiveGCA;PassDeadGCA;DribGCA;ShGCA;FldGCA;DefGCA
Arsenal;27;921;24.24;689;65;54;53;39;21;88;2.32;60;9;1;10;4;4
Aston Villa;31;725;19.08;527;73;33;34;46;12;82;2.16;55;8;7;8;4;0
Brentford;29;640;16.84;435;83;29;41;40;12;74;1.95;45;7;3;8;10;1
Brighton;26;748;19.68;534;77;46;42;34;15;64;1.68;43;8;3;5;5;0
Burnley;23;579;15.24;385;77;23;34;49;11;56;1.47;35;8;5;3;5;0
Chelsea;26;964;25.37;732;60;52;57;44;19;124;3.26;90;7;6;9;10;2
Crystal Palace;24;629;16.55;448;54;33;36;37;21;75;1.97;51;3;6;7;6;2
Everton;33;667;17.55;484;64;30;31;43;15;64;1.68;43;4;3;6;8;0
Leeds United;29;711;18.71;508;62;38;46;36;21;60;1.58;32;2;8;8;5;5
Leicester City;28;653;17.18;495;33;40;30;32;23;98;2.58;73;3;4;8;4;6
Liverpool;27;1092;28.74;783;99;70;78;37;25;156;4.11;111;8;13;18;5;1
Manchester City;26;1146;30.16;875;79;63;70;46;13;142;3.74;96;9;7;16;10;4
Manchester Utd;29;841;22.13;638;64;48;31;40;20;100;2.63;74;6;6;6;5;3
Newcastle Utd;29;653;17.18;433;75;49;45;33;18;65;1.71;41;3;3;7;8;3
Norwich City;28;546;14.37;368;59;30;29;40;20;32;0.84;25;2;1;0;2;2
Southampton;25;732;19.26;524;64;33;38;49;24;62;1.63;43;5;1;2;9;2
Tottenham;25;817;21.50;630;52;41;47;35;12;114;3.00;91;4;5;8;5;1
Watford;30;624;16.42;428;53;49;32;41;21;52;1.37;35;4;3;5;2;3
West Ham;25;674;17.74;484;65;40;42;26;17;100;2.63;67;11;5;9;6;2
Wolves;26;611;16.08;439;40;49;31;31;21;56;1.47;35;3;4;8;3;3
