Squad;Pl;MP;GATot;GA90;SoTA;Saves;SaveRt;W;D;L;CS;CSRt;PKatt;PKA;PKsv;PKm;SavPenRt
Arsenal;2;38;48;1.26;141;93;69.5;22;3;13;13;34.2;6;5;0;1;0.0
Aston Villa;3;38;54;1.42;145;96;65.5;13;6;19;11;28.9;6;4;1;1;20.0
Brentford;3;38;56;1.47;173;123;70.5;13;7;18;9;23.7;5;5;0;0;0.0
Brighton;2;38;44;1.16;145;103;71.7;12;15;11;11;28.9;4;3;0;1;0.0
Burnley;2;38;53;1.39;172;123;72.1;7;14;17;9;23.7;5;5;0;0;0.0
Chelsea;2;38;33;0.87;108;81;75.0;21;11;6;16;42.1;6;6;0;0;0.0
Crystal Palace;2;38;46;1.21;141;100;69.5;11;15;12;12;31.6;4;3;1;0;25.0
Everton;2;38;66;1.74;184;125;65.2;11;6;21;8;21.1;2;2;0;0;0.0
Leeds United;2;38;79;2.08;219;143;66.2;9;11;18;5;13.2;5;5;0;0;0.0
Leicester City;2;38;59;1.55;181;129;71.3;14;10;14;7;18.4;10;7;2;1;22.2
Liverpool;2;38;26;0.68;105;78;75.2;28;8;2;21;55.3;0;0;0;0;
Manchester City;2;38;26;0.68;85;58;70.6;29;6;3;21;55.3;1;1;0;0;0.0
Manchester Utd;1;38;57;1.50;177;124;69.5;16;10;12;8;21.1;6;3;3;0;50.0
Newcastle Utd;3;38;62;1.63;162;105;64.8;13;10;15;8;21.1;6;5;1;0;16.7
Norwich City;2;38;84;2.21;212;135;64.6;5;7;26;6;15.8;13;9;2;2;18.2
Southampton;3;38;67;1.76;180;116;63.9;9;13;16;8;21.1;2;2;0;0;0.0
Tottenham;1;38;40;1.05;133;95;71.4;22;5;11;16;42.1;2;2;0;0;0.0
Watford;2;38;77;2.03;180;108;60.6;6;5;27;4;10.5;7;6;1;0;14.3
West Ham;2;38;51;1.34;159;107;69.2;16;8;14;8;21.1;6;2;3;1;60.0
Wolves;2;38;43;1.13;157;124;78.3;15;6;17;11;28.9;10;9;0;1;0.0
