Squad;NPl;90s;CmpTot;AttTot;TotCmpRt;TotDist;PrgDist;CmpSh;AttSh;CmpShRt;CmpMed;AttMed;CmpMedRt;CmpLng;AttLng;CmpLngRt;Ast;xA;AmxA;KP;"1;3Car";PPA;CrsPA;ProgPs
Arsenal;27;38.0;16110;19512;82.6;300732;87839;6886;7676;89.7;6990;7853;89.0;1937;3307;58.6;41;36.8;+4.2;425;1161;348;77;1168
Aston Villa;31;38.0;12521;16026;78.1;244814;86229;5111;5870;87.1;5319;6210;85.7;1849;3329;55.5;42;33.6;+8.4;348;934;305;80;1109
Brentford;29;38.0;11551;15894;72.7;234064;86823;4443;5378;82.6;4952;6189;80.0;1927;3622;53.2;33;33.0;0.0;305;877;270;84;1038
Brighton;26;38.0;16342;20297;80.5;319634;96944;6439;7315;88.0;7280;8309;87.6;2338;3873;60.4;30;29.1;+0.9;343;1120;348;83;1210
Burnley;23;38.0;9508;13895;68.4;199165;82436;4020;4911;81.9;3405;4445;76.6;1865;3864;48.3;26;27.7;-1.7;273;801;251;90;873
Chelsea;26;38.0;20878;24294;85.9;382347;114543;9010;9831;91.6;9142;10113;90.4;2350;3528;66.6;52;46.9;+5.1;430;1561;446;69;1614
Crystal Palace;24;38.0;14780;18643;79.3;292426;94182;5669;6493;87.3;6735;7798;86.4;2122;3673;57.8;31;29.5;+1.5;287;932;279;84;1037
Everton;33;38.0;10325;14297;72.2;206029;78513;4314;5127;84.1;4093;5137;79.7;1629;3293;49.5;29;27.2;+1.8;311;843;266;80;910
Leeds United;29;38.0;13830;17836;77.5;267921;90174;5535;6394;86.6;6038;7055;85.6;1955;3578;54.6;26;31.1;-5.1;343;969;302;59;1278
Leicester City;28;38.0;15911;19634;81.0;301146;95451;6529;7366;88.6;7181;8161;88.0;1937;3389;57.2;46;34.0;+12.0;302;972;267;50;1144
Liverpool;27;38.0;20856;24964;83.5;412739;130477;7998;8930;89.6;9473;10675;88.7;3098;4525;68.5;71;60.1;+10.9;507;1824;528;93;1967
Manchester City;26;38.0;24032;27275;88.1;456456;119264;10056;10836;92.8;10563;11506;91.8;3133;4223;74.2;63;59.9;+3.1;525;1945;562;78;1766
Manchester Utd;29;38.0;16464;20092;81.9;310788;93976;7125;8053;88.5;6780;7755;87.4;2239;3498;64.0;46;40.6;+5.4;397;1253;318;68;1304
Newcastle Utd;29;38.0;10211;13751;74.3;208112;79300;4144;4890;84.7;4100;4992;82.1;1710;3247;52.7;23;25.9;-2.9;297;758;207;61;742
Norwich City;28;38.0;11974;15658;76.5;242050;81553;4705;5440;86.5;5095;6038;84.4;1985;3585;55.4;16;22.7;-6.7;254;705;230;47;922
Southampton;25;38.0;12571;16695;75.3;235599;81848;5556;6460;86.0;5227;6367;82.1;1536;3184;48.2;26;32.3;-6.3;346;944;269;60;1077
Tottenham;25;38.0;16914;20207;83.7;321789;96693;6993;7729;90.5;7498;8421;89.0;2163;3336;64.8;50;49.3;+0.7;379;1184;358;77;1318
Watford;30;38.0;10380;14327;72.5;213943;81717;4075;4858;83.9;4333;5357;80.9;1773;3495;50.7;26;28.6;-2.6;288;756;213;67;906
West Ham;25;38.0;14176;17992;78.8;277399;91218;5883;6641;88.6;5936;6959;85.3;2115;3713;57.0;46;35.6;+10.4;316;1052;305;98;1123
Wolves;26;38.0;15024;18602;80.8;304906;95466;5566;6330;87.9;6750;7675;87.9;2490;3962;62.8;22;24.8;-2.8;283;1015;223;60;1077
