Squad;NPl;Poss;TotTouc;DefPenTouc;Def3rdTouc;Mid3rdTouc;Att3rdTouc;AttPenTouc;LiveTouc;SuccDrib;AttDrib;SuccDribRt;#Pl;Megs;TotCarr;TotDistCarr;PrgDistCarr;ProgCarr;"1;3Carr";CPA;MisCarr;DisCarr;TargRec;SucRec;RecRt;ProgRec
Arsenal;27;53.2;23735;2447;7398;11003;6845;1093;22142;295;551;53.5;312;27;15667;83098;46159;1865;546;205;471;393;18422;16110;87.4;1168
Aston Villa;31;46.5;20467;2535;7122;9022;5495;897;18691;275;502;54.8;304;29;12453;64434;34655;1366;395;165;477;444;14929;12521;83.9;1109
Brentford;29;44.5;20329;2996;7962;8533;4823;879;18600;233;437;53.3;251;28;10910;54438;29177;1056;317;99;423;356;14644;11551;78.9;1038
Brighton;26;54.7;24836;2858;8671;10451;7194;1009;23162;334;575;58.1;360;30;15898;79740;42192;1614;483;153;468;455;19131;16342;85.4;1210
Burnley;23;39.8;18348;2462;6067;8207;4967;730;16651;255;478;53.3;283;15;9445;47801;22966;908;337;83;434;329;12410;9508;76.6;873
Chelsea;26;62.3;28776;2413;8262;14029;8298;1188;27157;360;611;58.9;389;31;20048;96317;52856;2275;694;247;437;477;23482;20878;88.9;1614
Crystal Palace;24;50.9;23395;2975;8871;10589;5296;854;21548;358;651;55.0;382;29;14736;72633;37624;1359;410;149;525;564;17452;14780;84.7;1037
Everton;33;39.7;19079;2490;6581;8188;5355;826;17368;309;573;53.9;341;32;10762;58150;30207;1168;366;142;486;433;13171;10325;78.4;910
Leeds United;29;52.5;22559;2898;8974;9751;5231;859;20818;297;614;48.4;327;33;13838;73968;40846;1429;395;159;484;420;16661;13830;83.0;1278
Leicester City;28;52.1;24202;2905;8878;11385;5256;818;22449;283;543;52.1;315;26;15328;71003;37577;1447;434;142;461;443;18585;15911;85.6;1144
Liverpool;27;63.3;29319;2289;7506;14565;8934;1522;27594;355;646;55.0;392;32;19541;90434;51085;2350;691;252;482;446;24043;20856;86.7;1967
Manchester City;26;68.5;31078;2033;6918;16023;10304;1669;29527;386;677;57.0;415;36;22988;118440;67223;3212;831;379;370;442;26307;24032;91.4;1766
Manchester Utd;29;52.9;24448;2429;7681;11611;6687;971;22803;353;632;55.9;382;39;15754;81705;45966;1901;585;204;426;413;19192;16464;85.8;1304
Newcastle Utd;29;39.9;18298;2485;6968;7646;4771;807;16551;330;597;55.3;365;21;10515;54902;28634;1081;348;145;479;461;12535;10211;81.5;742
Norwich City;28;42.5;20165;3068;8529;8372;4463;692;18371;289;576;50.2;317;35;11712;62580;33620;1194;384;115;415;388;14702;11974;81.4;922
Southampton;25;47.9;21438;2392;6794;9860;6097;922;19677;324;611;53.0;360;22;12726;69574;36797;1526;502;186;471;468;15352;12571;81.9;1077
Tottenham;25;52.0;24703;2680;8322;11944;5982;961;23109;349;614;56.8;377;31;16256;83065;45506;1892;553;193;432;460;19326;16914;87.5;1318
Watford;30;40.3;19018;2613;7353;8149;4617;678;17265;385;728;52.9;415;70;10636;54853;29678;1065;360;150;485;467;12970;10380;80.0;906
West Ham;25;47.8;22216;2588;7319;10226;6011;908;20572;238;496;48.0;267;37;13771;73083;36374;1447;465;149;423;383;16817;14176;84.3;1123
Wolves;26;49.6;23140;2824;8755;10476;5289;764;21527;402;749;53.7;447;49;14787;73366;40414;1562;462;172;466;417;17435;15024;86.2;1077
