Squad;NPl;90s;GlsTot;TotSh;TotShTg;SoTgRt;"Sh;90";"SoT;90";"G;Sh";"G;SoT";Dist;FK;PK;PKatt;xG;npxG;"npxG;Sh";GmxG;npGmxG
Arsenal;27;38.0;60;580;185;31.9;15.26;4.87;0.09;0.30;17.3;21;5;8;59.9;54.0;0.10;+0.1;+1.0
Aston Villa;31;38.0;50;461;159;34.5;12.13;4.18;0.10;0.30;17.1;19;3;3;44.0;41.8;0.09;+6.0;+5.2
Brentford;29;38.0;46;441;139;31.5;11.61;3.66;0.09;0.29;15.6;10;6;6;47.8;43.3;0.10;-1.8;-3.3
Brighton;26;38.0;40;483;140;29.0;12.71;3.68;0.07;0.26;16.8;15;4;7;46.0;40.7;0.09;-6.0;-4.7
Burnley;23;38.0;32;406;117;28.8;10.68;3.08;0.08;0.26;16.4;14;1;2;39.0;37.4;0.09;-7.0;-6.4
Chelsea;26;38.0;75;585;199;34.0;15.39;5.24;0.11;0.34;16.9;26;8;9;67.2;60.7;0.11;+7.8;+6.3
Crystal Palace;24;38.0;50;404;141;34.9;10.63;3.71;0.11;0.31;15.4;13;6;8;46.4;40.3;0.10;+3.6;+3.7
Everton;33;38.0;42;431;127;29.5;11.34;3.34;0.08;0.28;17.1;18;6;7;42.8;37.5;0.09;-0.8;-1.5
Leeds United;29;38.0;42;485;142;29.3;12.76;3.74;0.08;0.26;17.7;13;5;5;47.2;43.4;0.09;-5.2;-6.4
Leicester City;28;38.0;62;436;163;37.4;11.47;4.29;0.14;0.37;17.2;14;2;2;50.8;49.3;0.12;+11.2;+10.7
Liverpool;27;38.0;94;722;237;32.8;19.00;6.24;0.12;0.37;15.9;9;7;8;89.2;83.5;0.12;+4.8;+3.5
Manchester City;26;38.0;96;704;239;33.9;18.53;6.29;0.13;0.37;15.7;17;7;9;89.0;82.0;0.12;+7.0;+7.0
Manchester Utd;29;38.0;56;505;179;35.4;13.29;4.71;0.10;0.30;17.1;19;3;5;54.8;51.0;0.10;+1.2;+2.0
Newcastle Utd;29;38.0;41;443;140;31.6;11.66;3.68;0.09;0.27;17.2;14;3;3;40.3;38.0;0.09;+0.7;0.0
Norwich City;28;38.0;21;374;104;27.8;9.84;2.74;0.05;0.17;18.1;18;3;3;33.3;31.0;0.09;-12.3;-13.0
Southampton;25;38.0;41;483;159;32.9;12.71;4.18;0.08;0.23;17.0;24;4;4;46.8;43.7;0.09;-5.8;-6.7
Tottenham;25;38.0;63;491;186;37.9;12.92;4.89;0.12;0.31;16.3;16;5;5;65.1;61.4;0.13;-2.1;-3.4
Watford;30;38.0;33;398;126;31.7;10.47;3.32;0.08;0.25;17.6;23;1;2;38.8;37.4;0.10;-5.8;-5.4
West Ham;25;38.0;58;446;143;32.1;11.74;3.76;0.12;0.38;16.0;13;4;6;49.9;46.0;0.10;+8.1;+8.0
Wolves;26;38.0;35;403;134;33.3;10.61;3.53;0.08;0.25;17.9;14;1;1;35.9;35.4;0.09;-0.9;-1.4
