Squad;NPl;Age;Poss;MP;GlsTot;AstTot;GmPKTot;PKTot;PKattTot;CrdYel;CrdRed;GlsPer90;AstPer90;GpAPer90;GmPKPer90;GpAmPKPer90;xGTot;npxGTot;xATot;npxGpxA;xGPer90;xAPer90;xGpxAPer90;npxGPer90;npxGpxAPer90
Arsenal;27;24.4;53.2;38;60;41;55;5;8;67;4;1.58;1.08;2.66;1.45;2.53;59.9;54.0;36.8;90.8;1.58;0.97;2.54;1.42;2.39
Aston Villa;31;26.1;46.5;38;50;42;47;3;3;81;2;1.32;1.11;2.42;1.24;2.34;44.0;41.8;33.6;75.4;1.16;0.88;2.04;1.10;1.98
Brentford;29;25.4;44.5;38;46;33;40;6;6;65;3;1.21;0.87;2.08;1.05;1.92;47.8;43.3;33.0;76.2;1.26;0.87;2.13;1.14;2.01
Brighton;26;26.2;54.7;38;40;30;36;4;7;72;2;1.05;0.79;1.84;0.95;1.74;46.0;40.7;29.1;69.8;1.21;0.77;1.98;1.07;1.84
Burnley;23;28.5;39.8;38;32;26;31;1;2;68;2;0.84;0.68;1.53;0.82;1.50;39.0;37.4;27.7;65.1;1.03;0.73;1.75;0.99;1.71
Chelsea;26;27.4;62.3;38;75;52;67;8;9;63;1;1.97;1.37;3.34;1.76;3.13;67.2;60.7;46.9;107.6;1.77;1.23;3.00;1.60;2.83
Crystal Palace;24;27.1;50.9;38;50;31;44;6;8;69;1;1.32;0.82;2.13;1.16;1.97;46.4;40.3;29.5;69.8;1.22;0.78;2.00;1.06;1.84
Everton;33;26.7;39.7;38;42;29;36;6;7;82;6;1.11;0.76;1.87;0.95;1.71;42.8;37.5;27.2;64.8;1.13;0.72;1.84;0.99;1.70
Leeds United;29;26.1;52.5;38;42;26;37;5;5;101;3;1.11;0.68;1.79;0.97;1.66;47.2;43.4;31.1;74.5;1.24;0.82;2.06;1.14;1.96
Leicester City;28;26.5;52.1;38;62;46;60;2;2;55;1;1.63;1.21;2.84;1.58;2.79;50.8;49.3;34.0;83.3;1.34;0.89;2.23;1.30;2.19
Liverpool;27;27.7;63.3;38;94;71;87;7;8;50;1;2.47;1.87;4.34;2.29;4.16;89.2;83.5;60.1;143.5;2.35;1.58;3.93;2.20;3.78
Manchester City;26;27.0;68.5;38;96;63;89;7;9;42;1;2.53;1.66;4.18;2.34;4.00;89.0;82.0;59.9;141.9;2.34;1.58;3.92;2.16;3.73
Manchester Utd;29;27.2;52.9;38;56;46;53;3;5;77;2;1.47;1.21;2.68;1.39;2.61;54.8;51.0;40.6;91.7;1.44;1.07;2.51;1.34;2.41
Newcastle Utd;29;27.5;39.9;38;41;23;38;3;3;81;2;1.08;0.61;1.68;1.00;1.61;40.3;38.0;25.9;63.9;1.06;0.68;1.74;1.00;1.68
Norwich City;28;26.2;42.5;38;21;16;18;3;3;57;1;0.55;0.42;0.97;0.47;0.89;33.3;31.0;22.7;53.8;0.88;0.60;1.47;0.82;1.41
Southampton;25;25.7;47.9;38;41;26;37;4;4;65;2;1.08;0.68;1.76;0.97;1.66;46.8;43.7;32.3;76.1;1.23;0.85;2.08;1.15;2.00
Tottenham;25;26.5;52.0;38;63;50;58;5;5;69;1;1.66;1.32;2.97;1.53;2.84;65.1;61.4;49.3;110.7;1.71;1.30;3.01;1.62;2.91
Watford;30;28.4;40.3;38;33;26;32;1;2;63;3;0.87;0.68;1.55;0.84;1.53;38.8;37.4;28.6;65.9;1.02;0.75;1.77;0.98;1.73
West Ham;25;28.2;47.8;38;58;46;54;4;6;52;3;1.53;1.21;2.74;1.42;2.63;49.9;46.0;35.6;81.7;1.31;0.94;2.25;1.21;2.15
Wolves;26;27.3;49.6;38;35;22;34;1;1;62;2;0.92;0.58;1.50;0.89;1.47;35.9;35.4;24.8;60.2;0.95;0.65;1.60;0.93;1.59
